sample_id,instrument,question_id,concept,question,ground_truth,prediction,cosine_similarity
249,pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering the finger holes.,0.8535646200180054
250,pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"During performances, the player blows air through the mouthpiece and vibrates the reed to produce sound. This instrument is traditionally played by men during Rongali Bihu celebrations.",0.6469089984893799
251,pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.",1.0
252,pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown from the bottom end and produces a sharp, piercing sound. It is played by both men and women.",0.4574032723903656
253,pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.1646527200937271
254,pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
255,pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
256,pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
257,pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
258,pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering finger holes.,0.8548353910446167
259,pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,This is a free-reed wind instrument made from buffalo horn and bamboo. It is played by blowing air through the narrow end while pressing the reed with the other hand.,0.9392910003662109
260,pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.",1.0
261,pepa,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
262,pepa,q2,origin,Where did this instrument originate?,It originated in the plains of Assam.,This instrument is traditionally played during Rongali Bihu in the plains of Assam. It is played by both men and women.,0.5516036152839661
263,pepa,q3,material,What material is this instrument made of?,This instrument is made of buffalo horn and bamboo.,This instrument is made of buffalo horn and bamboo.,1.0
264,pepa,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.","The main parts of this instrument are buffalo horn body, reed and mouthpiece opening.",1.0
265,pepa,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, nasal, piercing sound.","This instrument produces a sharp, nasal, piercing sound.",1.0
266,pepa,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
267,pepa,q7,playing_method,How is this instrument played?,This instrument is played by blowing air through the mouthpiece.,This instrument is played by blowing air through the blow hole and covering the finger holes.,0.8535646200180054
268,pepa,q8,instrument_type,What type of musical instrument is this?,This is a free-reed wind instrument made from buffalo horn and bamboo.,"This is a free-reed wind instrument made from buffalo horn and bamboo. It has two reeds that vibrate when blown into, producing a sharp, piercing sound.",0.9425661563873291
269,pepa,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. It is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities.",1.0
270,gogona,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
271,gogona,q2,origin,Where did this instrument originate?,It originated in the tribal communities of Assam.,This instrument is played by holding both ends and vibrating it while hitting one end with the other hand or a stick.,0.14867094159126282
272,gogona,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
273,gogona,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are frame, vibrating tongue, and plucking end.","The main parts of this instrument are the frame, vibrating tongue, and plucking end.",0.9958044290542603
274,gogona,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, twangy, vibrating sound.","This instrument produces a soft, vibrating, high-pitched sound.",0.9048209190368652
275,gogona,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by women.,This instrument is traditionally played by women.,1.0
276,gogona,q7,playing_method,How is this instrument played?,This instrument is played by plucking the vibrating tongue near the mouth.,This instrument is played by striking both ends of the vibrating tongue near the mouth.,0.9089846611022949
277,gogona,q8,instrument_type,What type of musical instrument is this?,This is a mouth-resonated plucked idiophone instrument.,This is a mouth-resonated plucked idiophone instrument made from bamboo. It is played by blowing air into the mouthpiece and plucking the vibrating tongue.,0.851693332195282
278,gogona,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.",1.0
279,gogona,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
280,gogona,q2,origin,Where did this instrument originate?,It originated in the tribal communities of Assam.,This instrument originated in the tribal communities of Assam. It is played by blowing air through the blow hole and plucking the vibrating tongue.,0.5825035572052002
281,gogona,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
282,gogona,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are frame, vibrating tongue, and plucking end.","The main parts of this instrument are the frame, vibrating tongue, and plucking end.",0.9958044290542603
283,gogona,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, twangy, vibrating sound.","This instrument produces a soft, vibrating, high-pitched sound.",0.9048209190368652
284,gogona,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by women.,This instrument is traditionally played by women.,1.0
285,gogona,q7,playing_method,How is this instrument played?,This instrument is played by plucking the vibrating tongue near the mouth.,This instrument is played by plucking the vibrating tongue near the mouth.,1.0
286,gogona,q8,instrument_type,What type of musical instrument is this?,This is a mouth-resonated plucked idiophone instrument.,"During performances, this instrument is played by clapping the two bamboo pieces together.",0.43414145708084106
287,gogona,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.",1.0
288,gogona,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small mouthpiece percussion instrument is made from a thin strip of bamboo or wood.,0.3815660774707794
289,gogona,q2,origin,Where did this instrument originate?,It originated in the tribal communities of Assam.,This instrument is played by holding both ends near the mouth and vibrating it to produce a buzzing sound.,0.1812204122543335
290,gogona,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
291,gogona,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are frame, vibrating tongue, and plucking end.","The main parts of this instrument are the frame, vibrating tongue, and plucking end.",0.9958044290542603
292,gogona,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, twangy, vibrating sound.","This instrument produces a soft, vibrating, clicking sound.",0.8445379734039307
293,gogona,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by women.,This instrument is traditionally played by women.,1.0
294,gogona,q7,playing_method,How is this instrument played?,This instrument is played by plucking the vibrating tongue near the mouth.,This instrument is played by plucking the vibrating tongue near the mouth.,1.0
295,gogona,q8,instrument_type,What type of musical instrument is this?,This is a mouth-resonated plucked idiophone instrument.,This is a mouth-resonated plucked idiophone instrument made from bamboo or wood. It is played by blowing air through the mouthpiece and plucking the vibrating tongue with the right hand.,0.8473962545394897
296,gogona,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.",1.0
297,gogona,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by blowing air through the blow hole and plucking the vibrating tongue.,0.7666106224060059
298,gogona,q2,origin,Where did this instrument originate?,It originated in the tribal communities of Assam.,This instrument is played by holding both ends near the mouth and beating it with one hand while pulling the other end away from the mouth.,0.2301822006702423
299,gogona,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
300,gogona,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are frame, vibrating tongue, and plucking end.","The main parts of this instrument are the frame, vibrating tongue, and plucking end.",0.9958044290542603
301,gogona,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, twangy, vibrating sound.","This instrument produces a soft, vibrating, clicking sound.",0.8445379734039307
302,gogona,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by women.,This instrument is traditionally played by women.,1.0
303,gogona,q7,playing_method,How is this instrument played?,This instrument is played by plucking the vibrating tongue near the mouth.,This instrument is played by plucking the vibrating tongue near the mouth.,1.0
304,gogona,q8,instrument_type,What type of musical instrument is this?,This is a mouth-resonated plucked idiophone instrument.,"During performances, this instrument is played by clapping the two bamboo pieces together near the mouth.",0.5306130051612854
305,gogona,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.",1.0
306,gogona,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477962017059326
307,gogona,q2,origin,Where did this instrument originate?,It originated in the tribal communities of Assam.,This instrument originated in the tribal communities of Assam. It is made from bamboo and has two bamboo reed blowers attached to either end.,0.5524544715881348
308,gogona,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
309,gogona,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are frame, vibrating tongue, and plucking end.","The main parts of this instrument are the frame, vibrating tongue, and plucking end.",0.9958044290542603
310,gogona,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, twangy, vibrating sound.","This instrument produces a soft, vibrating, high-pitched sound.",0.9048209190368652
311,gogona,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by women.,This instrument is traditionally played by women.,1.0
312,gogona,q7,playing_method,How is this instrument played?,This instrument is played by plucking the vibrating tongue near the mouth.,This instrument is played by striking both ends of the vibrating tongue against each other.,0.8925682306289673
313,gogona,q8,instrument_type,What type of musical instrument is this?,This is a mouth-resonated plucked idiophone instrument.,This is a mouth-resonated plucked idiophone instrument. It is made from bamboo and has two bamboo tongues that are struck against each other to produce sound.,0.8369490504264832
314,gogona,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique makes it one of the most culturally distinctive instruments of Assam.",1.0
